trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.60965769174446,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.57650978563771,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.15373804642914,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.27301833437059,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-165.5783836273218,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.10928197957583,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-180.84612138893397,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.35465569349435,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.27427315151843,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.95181608789316,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.67075867032783,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
