trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-165.74692694662164,"{0: 21, 1: 3, 2: 8, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.04917299336677,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.48808050062082,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-224.04833009498464,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-163.5638753189083,"{0: 16, 1: 9, 2: 8, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,5,-31.015564091287175,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-268.4459573936959,"{0: 13, 1: 2, 2: 9, 3: 3, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,2,-90.61871107223097,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.59960516605894,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.74635140377907,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.90050288746671,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.45487084756725,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-219.69937675075442,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.5482572224987,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-46.049901767959675,"{0: 21, 1: 5, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.73160041430067,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.88416977096827,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.61873899179948,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-160.25041472328456,"{0: 19, 1: 2, 2: 4, 3: 3, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.3364232093408,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,12,-32.694699372741155,"{0: 4, 1: 2, 2: 1, 3: 1, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.00917645206083,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-217.89547075128314,"{0: 15, 1: 5, 2: 6, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-130.63542786874152,"{0: 14, 1: 5, 2: 2, 3: 3, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.68186953822871,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-71.96459319515009,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-79.32084455383612,"{0: 9, 1: 6, 2: 4, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-67.18052876315315,"{0: 18, 1: 6, 2: 6, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-57.53457302559489,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-162.15563309901935,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
